Date,Aircraft,Departure ICAO,Departure APT,Arrival ICAO,Arrival APT,TakeOff (Z),Land (Z),TakeOff (Local),Land (Local),Duration (h:m:s),Duration (hour),Distance (nm),Altitude/s,Max Altitude (ft),Block Out Time (Z),Block In Time (Z),Fuel Start (kg),Fuel End (kg)
2026-04-19,B748,52OR,Chinook Ultralight Airpark,WA81,Evergreen North-South Airpark,19:42:16,19:43:45,12:42:16,12:43:45,00:01:28,0.0,4,^~v,1300,00:00:00,19:43:45,0.0,20069.9
2026-07-17,BE58,MMGM,General Jose Maria Yanez INTL,MMGM,General Jose Maria Yanez INTL,18:22:12,18:23:34,11:22:12,11:23:34,00:01:21,0.0,2,^~v,1000,18:21:08,18:23:34,268.1,264.1
2026-07-18,BE58,EDAB,Bautzen,LKVR,Vrchlabi,18:34:57,19:01:12,20:34:57,21:01:12,00:26:14,0.4,87,3400,3400,18:34:31,19:01:12,253.6,180.7
2026-07-18,BE58,EDAB,Bautzen,EDDC,Dresden,18:35:10,18:47:52,20:35:10,20:47:52,00:12:42,0.2,30,3900,4000,18:34:31,18:47:52,113.2,90.5
2026-07-27,BE58,LPMA,Madeira,LPMA,Madeira,14:16:00,14:29:41,15:16:00,15:29:41,00:13:40,0.2,28,^~v,5000,14:13:21,14:29:41,107.4,83.5
2026-08-07,BE58,ENFL,Florø,ENOV,Orsta-Volda Hovden,18:33:36,18:56:03,20:33:36,20:56:03,00:22:27,0.4,58,7800,7900,18:26:45,18:56:03,87.2,49.6
2026-08-10,BE58,ENOV,Orsta-Volda Hovden,ENKB,Kristiansund Kvernberget,17:13:33,17:45:46,19:13:33,19:45:46,00:32:13,0.5,79,8000,8000,17:08:42,17:45:46,60.0,67.6
2026-08-24,BE58,ENKB,Kristiansund Kvernberget,ENVA,Trondheim Vaernes,17:15:38,17:51:37,19:15:38,19:51:37,00:35:59,0.6,101,7900/6000,7900,17:09:04,17:51:37,104.9,28.6
2026-08-28,BE58,ENVA,Trondheim Vaernes,ENVA,Trondheim Vaernes,17:42:47,17:49:31,19:42:47,19:49:31,00:06:43,0.1,13,^~v,3800,17:23:32,17:49:31,80.6,64.6
2026-09-05,B738,ENVA,Trondheim Vaernes,ENRM,Rørvik Ryum,11:23:17,11:52:07,13:23:17,13:52:07,00:28:49,0.5,114,17000,17000,11:13:05,11:52:07,3385.4,2310.8
